# R  g_LO
1.635494643383063051e+00 -1.466386706678144969e-01
1.587391859754149426e+00 -1.424453047899517377e-01
1.542037806618316687e+00 -1.373023061566741310e-01
1.499203423101140853e+00 -1.312246099897962648e-01
1.458684411665974956e+00 -1.242253146891178217e-01
1.420297979780028363e+00 -1.163287285958626571e-01
1.383880082862591676e+00 -1.075761956869771552e-01
1.349283080791026990e+00 -9.802613417825829789e-02
1.316373737357099616e+00 -8.775875851894930635e-02
1.285031505515263905e+00 -7.689383047485968958e-02
1.255147051898629629e+00 -6.561531121773978015e-02
1.226620982537297122e+00 -5.416267688222484167e-02
1.199362738480912904e+00 -4.270325085432346429e-02
1.173289635470458281e+00 -3.108150848976757447e-02
1.148326026205129358e+00 -1.863669912205369317e-02
1.124402567325855751e+00 -4.207918012981215657e-03
1.101455576155940363e+00 1.375464529137188432e-02
1.079426464632821547e+00 3.699703371437872146e-02
1.058261239836099543e+00 6.721072109871994993e-02
1.037910062146943924e+00 1.059397457994882413e-01
1.018326853427190093e+00 1.547831526746071273e-01
9.994689487340940870e-01 2.156506749408953760e-01
9.812967860298377198e-01 2.910236621022277426e-01
9.637736291364479291e-01 3.841644000476758802e-01
9.468653198533522053e-01 4.993606370284747187e-01
9.305400557179495102e-01 6.422245670242342497e-01
9.147681903667979064e-01 8.202005105012640795e-01
8.995220538606847338e-01 1.043110786297862136e+00
8.847757906826406726e-01 1.323944318815569066e+00
8.705052134135657926e-01 1.680084011642498876e+00
8.566876703435091223e-01 2.134688598089851563e+00
8.433019254943918686e-01 2.718959429888193391e+00
8.303280497175551389e-01 3.475462250817232590e+00
8.177473216915315257e-01 4.461762374932853881e+00
8.055421377856877285e-01 5.756973621141514563e+00
7.936959298770747129e-01 7.470877926311182193e+00
7.821930903136388169e-01 9.756521724041490984e+00
7.710189033091583433e-01 1.282894577448889173e+01
7.601594821357898768e-01 1.699298906529856268e+01
7.496017115505704265e-01 2.268258713046405717e+01
7.393331949539874159e-01 3.052393456663656579e+01
7.293422058329875890e-01 4.143117959683790019e+01
7.196176430885476982e-01 5.673603047661753607e+01
7.101489898900141817e-01 7.842343554858027233e+01
7.009262757355984030e-01 1.094443686728271956e+02
6.919400414312958381e-01 1.542573723236175454e+02
6.831813067296339526e-01 2.197139474835260557e+02
6.746415403955134948e-01 3.162053554886019811e+02
6.663126324893959840e-01 4.601262042719251895e+02
6.581868686785496969e-01 6.773003890855047757e+02
6.502569064053141945e-01 1.008267700040451473e+03
6.425157527576319527e-01 1.519208391772539699e+03
6.349567439016597925e-01 2.317476531356886881e+03
6.275735259493148144e-01 3.580038526557392288e+03
6.203600371452997475e-01 5.601811535691005702e+03
6.133104912686485610e-01 8.879955754794606037e+03
6.064193621532705247e-01 1.427016756693174648e+04
