# R  g_LO
1.635494643383063051e+00 -6.862025772012942948e-01
1.587391859754149426e+00 -7.044390118994023897e-01
1.542037806618316687e+00 -7.209902948155104685e-01
1.499203423101140853e+00 -7.359485132174777844e-01
1.458684411665974956e+00 -7.494274526745992038e-01
1.420297979780028363e+00 -7.614073028966920065e-01
1.383880082862591676e+00 -7.717527414775183781e-01
1.349283080791026990e+00 -7.802973634449278384e-01
1.316373737357099616e+00 -7.869165071959185465e-01
1.285031505515263905e+00 -7.915632763582653997e-01
1.255147051898629629e+00 -7.942321364150013441e-01
1.226620982537297122e+00 -7.949077436265027385e-01
1.199362738480912904e+00 -7.935519168440574589e-01
1.173289635470458281e+00 -7.901139436621819057e-01
1.148326026205129358e+00 -7.845434728297506766e-01
1.124402567325855751e+00 -7.768091756891646327e-01
1.101455576155940363e+00 -7.669015107142892473e-01
1.079426464632821547e+00 -7.548160234950219705e-01
1.058261239836099543e+00 -7.405438073785346464e-01
1.037910062146943924e+00 -7.240842217119185520e-01
1.018326853427190093e+00 -7.054551327594713594e-01
9.994689487340940870e-01 -6.846732054681151647e-01
9.812967860298377198e-01 -6.617644368468608151e-01
9.637736291364479291e-01 -6.367746365191809810e-01
9.468653198533522053e-01 -6.097545136906276086e-01
9.305400557179495102e-01 -5.807640101484725648e-01
9.147681903667979064e-01 -5.498872734575165344e-01
8.995220538606847338e-01 -5.172137773707178310e-01
8.847757906826406726e-01 -4.828519317774270792e-01
8.705052134135657926e-01 -4.469292669491491954e-01
8.566876703435091223e-01 -4.095974095596899844e-01
8.433019254943918686e-01 -3.710405264632806177e-01
8.303280497175551389e-01 -3.314552328976342888e-01
8.177473216915315257e-01 -2.911268532020089839e-01
8.055421377856877285e-01 -2.504711161716222656e-01
7.936959298770747129e-01 -2.100838872658741530e-01
7.821930903136388169e-01 -1.706310740949817106e-01
7.710189033091583433e-01 -1.323780979790190326e-01
7.601594821357898768e-01 -9.452159329764196760e-02
7.496017115505704265e-01 -5.494120269095704306e-02
7.393331949539874159e-01 -1.040839402660463479e-02
7.293422058329875890e-01 4.291363750261843746e-02
7.196176430885476982e-01 1.088029994006431134e-01
7.101489898900141817e-01 1.902762017064983102e-01
7.009262757355984030e-01 2.894509090438343590e-01
6.919400414312958381e-01 4.080643455939583220e-01
6.831813067296339526e-01 5.478577240628242917e-01
6.746415403955134948e-01 7.109724897568453494e-01
6.663126324893959840e-01 9.000019675385899642e-01
6.581868686785496969e-01 1.118128227903487870e+00
6.502569064053141945e-01 1.369132007668857565e+00
6.425157527576319527e-01 1.657628668572068031e+00
6.349567439016597925e-01 1.989151947616474958e+00
6.275735259493148144e-01 2.370229928475602765e+00
6.203600371452997475e-01 2.808695073953916488e+00
6.133104912686485610e-01 3.314205156082987269e+00
6.064193621532705247e-01 3.897972475313468355e+00
5.996813692404564522e-01 4.573605514803215755e+00
5.930914640839678453e-01 5.357667303990493401e+00
5.866448177352291404e-01 6.269871699005790333e+00
5.803368089423771581e-01 7.334110453743765135e+00
5.741630131025646788e-01 8.579074972765432960e+00
5.681191919120113232e-01 1.004000618884631635e+01
5.622012836629278754e-01 1.175954513706846782e+01
5.564053941406297277e-01 1.378910442731613450e+01
5.507277880779701817e-01 1.619292022949908016e+01
5.451648811276876838e-01 1.904714966763395978e+01
5.397132323164107737e-01 2.244881321248668371e+01
5.343695369469413370e-01 2.651582700692066297e+01
5.291306199180497716e-01 3.139055973834354063e+01
5.239934294334085418e-01 3.725805473737128182e+01
5.189550310734719618e-01 4.434054121780830116e+01
5.140126022061054512e-01 5.291823526130663424e+01
5.091634267135950465e-01 6.334710555137450427e+01
5.044048900153371706e-01 7.607536166753605755e+01
4.997344743670470435e-01 9.163876868409020915e+01
4.951497544187254962e-01 1.107813646142225537e+02
4.906483930149188599e-01 1.343831383779671853e+02
4.862281372219916520e-01 1.636087888104579235e+02
4.818868145682239645e-01 1.999284750199785208e+02
4.776223294835493793e-01 2.452497496566553252e+02
4.734326599266761026e-01 3.020327425781924831e+02
4.693158541881833345e-01 3.734689820734288901e+02
4.652700278589747551e-01 4.637107171895161173e+02
4.612933609541972624e-01 5.782035976260087864e+02
4.573840951833989532e-01 7.240634187058317366e+02
4.535405313583283915e-01 9.108355737384614486e+02
4.497610269303423669e-01 1.151148366792071329e+03
4.460439936499261959e-01 1.461330090782681964e+03
4.423878953413203363e-01 1.863568961354247904e+03
4.387912457856998349e-01 2.388189279102024102e+03
4.352526067067828963e-01 3.076140189298413588e+03
4.317705858531286633e-01 3.982680582912514637e+03
4.283438351717545611e-01 5.180290227072976450e+03
4.249710490680400077e-01 6.771950282094255272e+03
4.216509627471959343e-01 8.903103006422499675e+03
4.183823506328765429e-01 1.177219293344822654e+04
4.151640248587775694e-01 1.564714962805496725e+04
