# R  g_LO  g_NLO
3.270989286766126103e+00 -5.066851831109332738e-02 4.361169168672270890e-01
3.082278366375772904e+00 -5.395485962282733222e-02 4.920722790225550147e-01
2.914154091846184791e+00 -5.658568011253141405e-02 3.512792798329187893e-01
2.763421983647244229e+00 -5.849569378464161001e-02 1.529911162210533526e-01
2.627515984451477937e+00 -5.988945593114856913e-02 5.672801497167020285e-02
2.504351172680315152e+00 -6.095720462855555577e-02 6.553467009122360132e-02
2.392216045545375813e+00 -6.166468963605109543e-02 8.931387011142051524e-02
2.289692500736288494e+00 -6.184769117309500686e-02 6.962671559327354709e-02
2.195595548651235074e+00 -6.136651305239489151e-02 3.329403105476684555e-03
2.108927303309739099e+00 -6.018715090314410987e-02 -7.600435480360934193e-02
2.028841456348609906e+00 -5.836084031246868697e-02 -1.379474920857155784e-01
1.954615549409026487e+00 -5.594133786274113618e-02 -1.786327669478532110e-01
1.885629118253413949e+00 -5.294056087947054956e-02 -2.095552534829181746e-01
1.821346307403865383e+00 -4.935095229460469829e-02 -2.381116770716253661e-01
1.761301923643298739e+00 -4.518249316486106643e-02 -2.624272386122729617e-01
1.705090160122767706e+00 -4.047888485541691755e-02 -2.756234372556249368e-01
1.652355412902476006e+00 -3.532157699946308904e-02 -2.698936796742074651e-01
1.602784750515401813e+00 -2.983326392165775928e-02 -2.392154335495152440e-01
1.556101699529516047e+00 -2.414553191770962143e-02 -1.914251377805573917e-01
1.512061085391888549e+00 -1.827612350440873182e-02 -1.611751371990194082e-01
1.470444725243487794e+00 -1.197099177618323775e-02 -2.029098737408153996e-01
1.431057812960180087e+00 -4.638759797051012108e-03 -3.697171553472478611e-01
1.393725870013392765e+00 4.629191351689260561e-03 -7.054477000565211320e-01
1.358292161453730218e+00 1.699869788192122366e-02 -1.238117384039937763e+00
1.324615496293720440e+00 3.377558375146057917e-02 -1.978556888067985353e+00
1.292568347189840150e+00 5.633232684915023131e-02 -2.941276355166345002e+00
1.262035236626300572e+00 8.623383338686521626e-02 -4.190727932503332198e+00
1.232911346550308984e+00 1.255145253315395060e-01 -5.853795602170340118e+00
1.205101316176993897e+00 1.769983893229414851e-01 -8.140543425275561518e+00
1.178518198908383718e+00 2.446754036499375895e-01 -1.134896658580808548e+01
1.153082554327627074e+00 3.342062869648610990e-01 -1.588624319720686628e+01
1.128721655292536319e+00 4.536647396735732918e-01 -2.246325336710178888e+01
1.105368793458897825e+00 6.146238421594260037e-01 -3.203099242756302090e+01
1.082962669267163447e+00 8.338052773589984534e-01 -4.612500291122074714e+01
1.061446854645961446e+00 1.135576781686310266e+00 -6.731603937330278598e+01
1.040769318516494568e+00 1.555858530366132531e+00 -9.860753969170023936e+01
1.020882006697708011e+00 2.148012572188127134e+00 -1.465610477204466520e+02
1.001740469072126105e+00 2.992539556062914663e+00 -2.194281180424189870e+02
9.833035279235594617e-01 4.212110375353364411e+00 -3.312672580389744326e+02
9.655329822381938376e-01 5.995962358619579824e+00 -5.069045536522573911e+02
9.483933435002376289e-01 8.640177370667037948e+00 -7.866031881169925555e+02
9.318515991368613305e-01 1.261493241851424507e+01 -1.230528046547432950e+03
9.158770002945152422e-01 1.867545750972956498e+01 -1.960650181399729263e+03
9.004408710760685164e-01 2.805560114262796034e+01 -3.155722832397888396e+03
8.855164367488407295e-01 4.279957040315058237e+01 -5.151963520071009043e+03
8.710786687583704779e-01 6.635000327577510859e+01 -8.522766099551528896e+03
8.571041446606425529e-01 1.045890633567551333e+02 -1.436385679653476654e+04
8.435709213238956616e-01 1.677438269693559789e+02 -2.467372945337702185e+04
8.304584199561667601e-01 2.739604615959630678e+02 -4.276324903778344742e+04
8.177473216915315257e-01 4.558327407883391515e+02 -7.610378781137072656e+04
