# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -4.639912877749269304e-02 -3.761736689470707162e-02 -2.740934187394464261e-02 -1.692768970755649527e-02 -7.381379523101763707e-03 -1.387519106654942075e-03 -1.190080293991431775e-04
3.082278366375772904e+00 -4.932458198136194932e-02 -3.974352746813591963e-02 -2.860968787618964337e-02 -1.725120966056685121e-02 -7.137797142580698528e-03 -1.432544759151955713e-03 -1.190667311791073065e-04
2.914154091846184791e+00 -5.163400034526799409e-02 -4.130594764106410022e-02 -2.930967227686714568e-02 -1.717596724602578340e-02 -6.712652111580841297e-03 -1.492324224770365682e-03 -1.195433759353201362e-04
2.763421983647244229e+00 -5.327770237687984300e-02 -4.227488431250836509e-02 -2.950342770199291045e-02 -1.673223022888745831e-02 -6.208985194086948101e-03 -1.536785852877363065e-03 -1.199770519400383231e-04
2.627515984451477937e+00 -5.446679653848157665e-02 -4.285978019513379117e-02 -2.939683196800629839e-02 -1.612711239946594544e-02 -5.827850723028443411e-03 -1.553808213898270245e-03 -1.201531885314210653e-04
2.504351172680315152e+00 -5.539909410824434000e-02 -4.325446586068329435e-02 -2.917786514326035918e-02 -1.554573260409430890e-02 -5.678622630008497117e-03 -1.553572051680332565e-03 -1.201407074436358700e-04
2.392216045545375813e+00 -5.606179964250751491e-02 -4.346072455862298733e-02 -2.886808333445819996e-02 -1.503977620744959519e-02 -5.724264625798711204e-03 -1.552894218777004951e-03 -1.201068287911054387e-04
2.289692500736288494e+00 -5.632771118332237370e-02 -4.338003415748542535e-02 -2.841080421847053811e-02 -1.460825767080384252e-02 -5.870539399658390722e-03 -1.559000242399312050e-03 -1.201450872210780662e-04
2.195595548651235074e+00 -5.610708079807980031e-02 -4.294981032177430658e-02 -2.779088892366408936e-02 -1.428039771174212380e-02 -6.029985683175830002e-03 -1.569462693578653478e-03 -1.202446190731297645e-04
2.108927303309739099e+00 -5.542836647017584939e-02 -4.220882184224656469e-02 -2.708562156270218069e-02 -1.411667299344672444e-02 -6.149756857024051698e-03 -1.579226650046890862e-03 -1.203492884128136604e-04
2.028841456348609906e+00 -5.442423865390755289e-02 -4.127305267767331087e-02 -2.643361811649342849e-02 -1.414645429140444499e-02 -6.223652960928402478e-03 -1.585725084881369797e-03 -1.204239285223474248e-04
1.954615549409026487e+00 -5.326553169865685250e-02 -4.026323982420337844e-02 -2.595947813497478940e-02 -1.432429861573726593e-02 -6.274676523700895014e-03 -1.589580244274281517e-03 -1.204693149801569756e-04
1.885629118253413949e+00 -5.213869034741317604e-02 -3.926935012942112113e-02 -2.572031811362170128e-02 -1.455858316051787671e-02 -6.321964602969756819e-03 -1.592433170956778984e-03 -1.205014583142655169e-04
1.821346307403865383e+00 -5.128064412239369263e-02 -3.837297372339464746e-02 -2.568549527096025686e-02 -1.476901917290929234e-02 -6.367800915655731642e-03 -1.595093739882556816e-03 -1.205302791663134788e-04
1.761301923643298739e+00 -5.099245697713179759e-02 -3.769424560798489282e-02 -2.573996671861231156e-02 -1.491503395168189416e-02 -6.405295511317805890e-03 -1.597371627419790809e-03 -1.205547897693914710e-04
1.705090160122767706e+00 -5.157131784825522841e-02 -3.743125777286535061e-02 -2.574514902715013820e-02 -1.498189610521265085e-02 -6.427134581859818285e-03 -1.598685049629580473e-03 -1.205689608496927131e-04
