# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6 
1.635494643383063051e+00 -8.675896838746895157e-02 -5.768325471354518452e-02 -3.429189506144453281e-02 -1.816259311821250000e-02 -7.154527541473720831e-03 -1.663504973724166947e-03 -1.212977063379229664e-04
1.587391859754149426e+00 -8.515318643277272614e-02 -5.696068031075880028e-02 -3.461350947811733803e-02 -1.833263395881665203e-02 -7.189763691086132821e-03 -1.665859545474429951e-03 -1.213221082743138734e-04
1.542037806618316687e+00 -8.366960680978885456e-02 -5.660758065995257632e-02 -3.502611889741527595e-02 -1.848158658734863624e-02 -7.217604253182977048e-03 -1.667763089584284059e-03 -1.213418964285013779e-04
1.499203423101140853e+00 -8.242197804338180500e-02 -5.660741185421375166e-02 -3.543494129105131951e-02 -1.861996892860365294e-02 -7.240761874790154450e-03 -1.669351763406285577e-03 -1.213583632331146061e-04
1.458684411665974956e+00 -8.146778017515243775e-02 -5.685367453103301605e-02 -3.578900348733901615e-02 -1.874526117919368684e-02 -7.260512493260779660e-03 -1.670714189287124396e-03 -1.213726937746812751e-04
1.420297979780028363e+00 -8.076640418826536161e-02 -5.718680703754802641e-02 -3.607335731522193223e-02 -1.885079446534813907e-02 -7.276712003549547225e-03 -1.671839606839843617e-03 -1.213840357307151415e-04
1.383880082862591676e+00 -8.017346581099843439e-02 -5.744190412036598303e-02 -3.628345793047046963e-02 -1.893138032163119155e-02 -7.288754236578150018e-03 -1.672683482941694994e-03 -1.213927316062119247e-04
1.349283080791026990e+00 -7.958693305330172274e-02 -5.747513184959562871e-02 -3.640257933080601194e-02 -1.898237655554897707e-02 -7.295890648873998123e-03 -1.673182590440080997e-03 -1.213983287724492528e-04
1.316373737357099616e+00 -7.921745433364302258e-02 -5.720098584189042823e-02 -3.639089318595484235e-02 -1.899515826483538783e-02 -7.296763139252734724e-03 -1.673223512378156988e-03 -1.213983822718600326e-04
1.285031505515263905e+00 -7.958527731740794309e-02 -5.672892643262666956e-02 -3.620015168708601294e-02 -1.895348406104258032e-02 -7.288646690206561363e-03 -1.672606151568197322e-03 -1.213917885911758570e-04
1.255147051898629629e+00 -8.113886175590828698e-02 -5.649463399813786646e-02 -3.585674423971758201e-02 -1.884098016492209704e-02 -7.267536879981335851e-03 -1.671005166545965967e-03 -1.213754108980794868e-04
1.226620982537297122e+00 -8.403420841346609382e-02 -5.706050531760803457e-02 -3.559329016463107231e-02 -1.867966325867781441e-02 -7.232792717997586773e-03 -1.668241437757024201e-03 -1.213459416408774525e-04
1.199362738480912904e+00 -8.821699680758175732e-02 -5.873124513311106520e-02 -3.579188848407632850e-02 -1.858083723526404718e-02 -7.198372818475387049e-03 -1.665130582897108094e-03 -1.213115760259227794e-04
1.173289635470458281e+00 -9.351445252911350092e-02 -6.145726110963561917e-02 -3.668149450593410910e-02 -1.870156636325696550e-02 -7.196754275008710768e-03 -1.664122538139458643e-03 -1.212981902940418527e-04
1.148326026205129358e+00 -9.967013958813863983e-02 -6.498400440174978421e-02 -3.820020577786864546e-02 -1.910955232050057240e-02 -7.256308329649775735e-03 -1.667980129650134275e-03 -1.213379392538484653e-04
1.124402567325855751e+00 -1.063791292325523274e-01 -6.899101534316121054e-02 -4.011722464225725426e-02 -1.973884745974011090e-02 -7.374131158401873998e-03 -1.677050728187182236e-03 -1.214333286742671792e-04
1.101455576155940363e+00 -1.133309700970942524e-01 -7.316486192827584278e-02 -4.217188056639142868e-02 -2.045817865032509286e-02 -7.519750154123566732e-03 -1.688788912132182379e-03 -1.215568582795082959e-04
1.079426464632821547e+00 -1.202673287889187703e-01 -7.725519234866262686e-02 -4.415687850556773708e-02 -2.115042483001022822e-02 -7.660314445323369859e-03 -1.700095947366426184e-03 -1.216764381580190548e-04
1.058261239836099543e+00 -1.270420869802558750e-01 -8.112538616040321227e-02 -4.596488148599489620e-02 -2.175628952843330910e-02 -7.779113931588650666e-03 -1.709398566204401067e-03 -1.217718758041520842e-04
1.037910062146943924e+00 -1.336278975972061689e-01 -8.475213781077572950e-02 -4.758190663855760283e-02 -2.227058469918163919e-02 -7.875448544113275440e-03 -1.716744805771211121e-03 -1.218525047092006326e-04
1.018326853427190093e+00 -1.400587877194885422e-01 -8.816869069428434624e-02 -4.903694811778142038e-02 -2.271027116048895955e-02 -7.954154097811784452e-03 -1.722527925986997539e-03 -1.219063532134155689e-04
9.994689487340940870e-01 -1.463807204380207505e-01 -9.141949477341237973e-02 -5.036608587185026353e-02 -2.309488108717883126e-02 -8.020647493715993975e-03 -1.727343688109317897e-03 -1.219574254420700940e-04
9.812967860298377198e-01 -1.526234951490174074e-01 -9.453591636334668369e-02 -5.159513762731383901e-02 -2.343769497673978131e-02 -8.078225059615536108e-03 -1.731451344810629872e-03 -1.220026930801663533e-04
9.637736291364479291e-01 -1.587978578951125819e-01 -9.753494396751749562e-02 -5.274002342882078143e-02 -2.374696872818434987e-02 -8.128841263691037253e-03 -1.734980278450711823e-03 -1.220364857322884925e-04
9.468653198533522053e-01 -1.648988093506092434e-01 -1.004226187762244926e-01 -5.380989524212353992e-02 -2.402788776463804163e-02 -8.173758460267785408e-03 -1.738030155132506017e-03 -1.220583520935348588e-04
9.305400557179495102e-01 -1.709118701711658250e-01 -1.031993304216727303e-01 -5.481096688500242120e-02 -2.428462472075575834e-02 -8.214240805061216733e-03 -1.740815097832307083e-03 -1.220892521459062893e-04
9.147681903667979064e-01 -1.768109594902271819e-01 -1.058574700478758235e-01 -5.574427400656889464e-02 -2.451859135476156318e-02 -8.250506639930009489e-03 -1.743273017827370701e-03 -1.221141706971716652e-04
8.995220538606847338e-01 -1.825678316933019296e-01 -1.083889506489553733e-01 -5.661074401735124301e-02 -2.473124565739806546e-02 -8.282936540597744812e-03 -1.745430582235272220e-03 -1.221323041251932929e-04
8.847757906826406726e-01 -2.914516555375414875e-01 -1.107876038906219218e-01 -5.741230314482959063e-02 -2.492445662103906501e-02 -8.312128144372606109e-03 -1.747399466350381013e-03 -1.221556008109658234e-04
8.705052134135657926e-01 -1.935476847461889971e-01 -1.130459336190867692e-01 -5.814912694629964518e-02 -2.509872193015258435e-02 -8.338022031310877991e-03 -1.749087736179096063e-03 -1.221679481196828189e-04
8.566876703435091223e-01 -1.987238040551599916e-01 -1.151625896352941325e-01 -5.882466477312184999e-02 -2.525607545090319261e-02 -8.361230699861534055e-03 -1.750620255064269659e-03 -1.221838058555211942e-04
8.433019254943918686e-01 -2.036688309827841825e-01 -1.171376420590904965e-01 -5.944212853614015690e-02 -2.539804087474192840e-02 -8.382098992378524127e-03 -1.752038796430748207e-03 -1.222062198333590379e-04
8.303280497175551389e-01 -2.083664033654522296e-01 -1.189689477669632067e-01 -6.000212805874149957e-02 -2.552437833330037376e-02 -8.400160641774769010e-03 -1.753133395831957091e-03 -1.222034564397918690e-04
8.177473216915315257e-01 -2.128154173339271704e-01 -1.206645137364203979e-01 -6.051112506681850800e-02 -2.563791406657608962e-02 -8.416315911476721090e-03 -1.754126581425987166e-03 -1.222041273954686293e-04
8.055421377856877285e-01 -2.170161658437046448e-01 -1.222314360993017601e-01 -6.097403859877734145e-02 -2.574047135227705563e-02 -8.431024589235044941e-03 -1.755107058450900911e-03 -1.222184472160789490e-04
7.936959298770747129e-01 -2.209683350928615120e-01 -1.236748169587106316e-01 -6.139375619053893951e-02 -2.583261223106100846e-02 -8.444192265118676682e-03 -1.755994535866304109e-03 -1.222333729770835918e-04
7.821930903136388169e-01 -2.246758075723282178e-01 -1.250012667147949452e-01 -6.177363830879648021e-02 -2.591519822267898676e-02 -8.455893536164611757e-03 -1.756767848010874419e-03 -1.222443328135688900e-04
7.710189033091583433e-01 -2.281451139382217608e-01 -1.262182528355260125e-01 -6.211730303534075681e-02 -2.598919978809783107e-02 -8.466264017188477459e-03 -1.757428617687490681e-03 -1.222500813128012359e-04
7.601594821357898768e-01 -2.313843214414534888e-01 -1.273330831575821831e-01 -6.242785421197405427e-02 -2.605537909819463649e-02 -8.475392661365474534e-03 -1.757971079249239649e-03 -1.222486212501209396e-04
7.496017115505704265e-01 -2.344071776468563129e-01 -1.283562114739759119e-01 -6.271028531286221286e-02 -2.611551223655720136e-02 -8.483812820481162476e-03 -1.758527895849690617e-03 -1.222571436105604741e-04
7.393331949539874159e-01 -2.372235575872716495e-01 -1.292945027067878283e-01 -6.296722834715266781e-02 -2.617021685873535675e-02 -8.491597374504437912e-03 -1.759095952722260041e-03 -1.222743064480771077e-04
7.293422058329875890e-01 -2.398380717470409984e-01 -1.301505898837459485e-01 -6.319854041090079699e-02 -2.621863351223539459e-02 -8.498184421094831520e-03 -1.759477289562378158e-03 -1.222718883402315571e-04
7.196176430885476982e-01 -2.422693291112798519e-01 -1.309362689523937417e-01 -6.340988115566636996e-02 -2.626309347687780238e-02 -8.504422585815803182e-03 -1.759913256693464330e-03 -1.222825204461425684e-04
7.101489898900141817e-01 -2.445209622135089411e-01 -1.316526618299715956e-01 -6.360036087887266376e-02 -2.630253993508620963e-02 -8.509718723031842180e-03 -1.760203332941069794e-03 -1.222778934590931766e-04
7.009262757355984030e-01 -2.466098702142927035e-01 -1.323096670453050017e-01 -6.377442050309675703e-02 -2.633871963604445671e-02 -8.514695336145121363e-03 -1.760523488671034142e-03 -1.222817600177945657e-04
6.919400414312958381e-01 -2.485467825794487329e-01 -1.329126893031072898e-01 -6.393384344419938969e-02 -2.637206027941148279e-02 -8.519423486569338566e-03 -1.760881380497969668e-03 -1.222946783139783691e-04
6.831813067296339526e-01 -2.503288405794541482e-01 -1.334579958384739529e-01 -6.407510473757010994e-02 -2.640028759711997644e-02 -8.522827198449253738e-03 -1.760933866496243796e-03 -1.222688795289950472e-04
6.746415403955134948e-01 -2.519897376533692945e-01 -1.339658315857854554e-01 -6.420893705532620954e-02 -2.642857393266663524e-02 -8.527042454086392054e-03 -1.761327607388222432e-03 -1.222932390319671149e-04
6.663126324893959840e-01 -2.535204608085330769e-01 -1.344283202499178542e-01 -6.432954069909213590e-02 -2.645355291686272980e-02 -8.530545656259158616e-03 -1.761584490178740329e-03 -1.223014921268784265e-04
6.581868686785496969e-01 -2.549236477742846674e-01 -1.348452523875598441e-01 -6.443572870854902268e-02 -2.647428671521966093e-02 -8.532867003683781981e-03 -1.761552107262459761e-03 -1.222722998731480526e-04
