# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6 
1.635494643383063051e+00 -1.704310850875158934e-01 -1.034427523069356702e-01 -4.998893966650140575e-02 -2.130623207505916161e-02 -7.752463673507056785e-03 -1.694842015855988621e-03 -1.187716596341709531e-04
1.587391859754149426e+00 -1.687328813521240534e-01 -1.005591468108028019e-01 -4.823067609949367729e-02 -2.159893202374640886e-02 -7.787525567401781812e-03 -1.696211588346881183e-03 -1.187757309305232474e-04
1.542037806618316687e+00 -1.663295466583868398e-01 -9.742129966249124529e-02 -4.692963972134850392e-02 -2.181889291046598678e-02 -7.820333374034538210e-03 -1.697877682204753172e-03 -1.187928492732030295e-04
1.499203423101140853e+00 -1.634095056312395988e-01 -9.427118027441452885e-02 -4.619515129376239315e-02 -2.194510053559947660e-02 -7.842208224667465005e-03 -1.699067965120721474e-03 -1.188028877180122094e-04
1.458684411665974956e+00 -1.601779415757340619e-01 -9.136008124958885923e-02 -4.600948833881302047e-02 -2.201842684234067704e-02 -7.854355520442144606e-03 -1.699775081519534770e-03 -1.188162968717243560e-04
1.420297979780028363e+00 -1.567736914813384619e-01 -8.887518580196773765e-02 -4.622936675276785590e-02 -2.208998850208857001e-02 -7.862388235008649362e-03 -1.700177952956126101e-03 -1.188192061517973899e-04
1.383880082862591676e+00 -1.532911190292005066e-01 -8.694278740906058456e-02 -4.666301861594429612e-02 -2.218512210677575647e-02 -7.871526273901065240e-03 -1.700628371644430110e-03 -1.188196223945775965e-04
1.349283080791026990e+00 -1.498326812675355724e-01 -8.563947309635794314e-02 -4.714285932045858551e-02 -2.229948158174005490e-02 -7.883463534421106603e-03 -1.701319072942207578e-03 -1.188290775784874947e-04
1.316373737357099616e+00 -1.465438254420423636e-01 -8.498131498990461885e-02 -4.756874587122039005e-02 -2.241504538909439015e-02 -7.896628410009329593e-03 -1.702107078847818478e-03 -1.188363454023214891e-04
1.285031505515263905e+00 -1.436156519641945128e-01 -8.490758390623120988e-02 -4.791849467634351489e-02 -2.251816707218437519e-02 -7.909141908356683015e-03 -1.702878752252940178e-03 -1.188418772016972626e-04
1.255147051898629629e+00 -2.211900162134232684e-01 -8.528075858322692326e-02 -4.821981873899877646e-02 -2.260576422268578689e-02 -7.920164696025563944e-03 -1.703592325031684160e-03 -1.188496036129782583e-04
1.226620982537297122e+00 -1.395723354446516407e-01 -8.592301891254816582e-02 -4.850768355046569669e-02 -2.268190319074567252e-02 -7.929791437389720199e-03 -1.704214736959017151e-03 -1.188550117452848794e-04
1.199362738480912904e+00 -1.386652645573911435e-01 -8.667169285169928905e-02 -4.879904970890269755e-02 -2.275215585086323711e-02 -7.938688474239237458e-03 -1.704787989800326045e-03 -1.188593838797461145e-04
1.173289635470458281e+00 -1.384819659943374859e-01 -8.741898739174791544e-02 -4.909133011277966308e-02 -2.281952646023337195e-02 -7.947404508892827110e-03 -1.705373807319356810e-03 -1.188677018315572112e-04
1.148326026205129358e+00 -1.388894911751433758e-01 -8.811928999703144694e-02 -4.937308221264391506e-02 -2.288362480941551896e-02 -7.955848334406594169e-03 -1.705926455840707165e-03 -1.188728222918139819e-04
1.124402567325855751e+00 -2.068162284211869095e-01 -8.877144269759731920e-02 -4.963586101373163029e-02 -2.294322894322121595e-02 -7.963815702440013231e-03 -1.706418113466692549e-03 -1.188720198462921271e-04
1.101455576155940363e+00 -1.407356256529832539e-01 -8.939049797958142918e-02 -4.987820589079422495e-02 -2.299815510007960015e-02 -7.971384068253005439e-03 -1.706909523620816355e-03 -1.188750816867850110e-04
1.079426464632821547e+00 -1.418449052171427416e-01 -8.998609195156537233e-02 -5.010210018897764961e-02 -2.304875323547769805e-02 -7.978604432650623912e-03 -1.707426296983801436e-03 -1.188860617757348908e-04
