# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
3.270989286766126103e+00 -5.208519320159224475e-02 -4.082297758775114971e-02 -2.995340072575389256e-02 -1.840769414712433577e-02 -7.872181979174375926e-03 -1.437355687457525337e-03 -1.202500784944176399e-04
3.082278366375772904e+00 -5.555200357710813469e-02 -4.345172510719888526e-02 -3.144698750129281545e-02 -1.872528814063900704e-02 -7.612220235725483675e-03 -1.480900256403335467e-03 -1.202500784944620380e-04
2.914154091846184791e+00 -5.588161846084759021e-02 -4.399047586517897818e-02 -3.123602736904152605e-02 -1.808758564405979138e-02 -7.007233135420736989e-03 -1.523895368765336347e-03 -1.202500784944133573e-04
2.763421983647244229e+00 -5.503829091776563098e-02 -4.344339719786459442e-02 -3.027467627451165336e-02 -1.708348802731948085e-02 -6.318329546263378414e-03 -1.550083501821906138e-03 -1.202500784943893422e-04
2.627515984451477937e+00 -5.507877710029359525e-02 -4.328328337322611546e-02 -2.965489492226939736e-02 -1.624290403882045972e-02 -5.861841548710341500e-03 -1.558632820634216513e-03 -1.202500784943926355e-04
2.504351172680315152e+00 -5.607123711018631440e-02 -4.373681588939816456e-02 -2.945286710034681482e-02 -1.566862569937497313e-02 -5.712910688029183837e-03 -1.558988974591843726e-03 -1.202500784945104883e-04
2.392216045545375813e+00 -5.693143197883421269e-02 -4.409979619785717175e-02 -2.921397477640205048e-02 -1.519408266094976132e-02 -5.766818145442585870e-03 -1.559883497211114701e-03 -1.202500784944051038e-04
2.289692500736288494e+00 -5.695454282097450055e-02 -4.385105413145726216e-02 -2.865745389957831055e-02 -1.471678443348934176e-02 -5.901496937560420791e-03 -1.564003063218138414e-03 -1.202500784944691666e-04
2.195595548651235074e+00 -5.612035519533523781e-02 -4.296005365833073519e-02 -2.779619049346160331e-02 -1.428271766414608394e-02 -6.030712301358456991e-03 -1.569588644886962857e-03 -1.202500784942824941e-04
2.108927303309739099e+00 -5.483845620255989317e-02 -4.173944484007731381e-02 -2.684854203576417242e-02 -1.401560678478705468e-02 -6.116267638484455295e-03 -1.574224441107416588e-03 -1.202500784944099014e-04
2.028841456348609906e+00 -5.349180400758003773e-02 -4.049857856542019713e-02 -2.604395919270707793e-02 -1.397939178960274677e-02 -6.164814659214480977e-03 -1.577043124524675705e-03 -1.202500784942480707e-04
1.954615549409026487e+00 -5.224709722471040235e-02 -3.935657609655646844e-02 -2.549833958766983474e-02 -1.412067641408735336e-02 -6.201114770165898696e-03 -1.578739928573419989e-03 -1.202500784944802119e-04
1.885629118253413949e+00 -5.117376655070719760e-02 -3.833107723331459493e-02 -2.522200904626185208e-02 -1.432831068293527292e-02 -6.238628567249527267e-03 -1.580098756860317307e-03 -1.202500784942998278e-04
1.821346307403865383e+00 -5.044682201673506700e-02 -3.747240167147795203e-02 -2.515556674578496923e-02 -1.451392463797566805e-02 -6.275519188503231489e-03 -1.581409895789719728e-03 -1.202500784943654627e-04
1.761301923643298739e+00 -5.033316384546192290e-02 -3.692006815851178736e-02 -2.518635391030545762e-02 -1.464136184015037839e-02 -6.305660358699791482e-03 -1.582542787083713893e-03 -1.202500784944922737e-04
1.705090160122767706e+00 -5.108622631766881333e-02 -3.686270151493952624e-02 -2.520351783936892326e-02 -1.470301009751888606e-02 -6.323596107192433653e-03 -1.583198256932618914e-03 -1.202500784945143778e-04
1.652355412902476006e+00 -5.286276641845340241e-02 -3.746664623625031720e-02 -2.522679550262067055e-02 -1.470122330023223949e-02 -6.327247391739312249e-03 -1.583162912237678346e-03 -1.202500784943265398e-04
1.602784750515401813e+00 -5.570914553711832362e-02 -3.882879034956666919e-02 -2.546317861342628497e-02 -1.466886360421450902e-02 -6.314712366014387304e-03 -1.582060426415814484e-03 -1.202500784943676311e-04
1.556101699529516047e+00 -5.957763289624418840e-02 -4.097173190395177189e-02 -2.615355204923596605e-02 -1.471742861073090276e-02 -6.301091173409190636e-03 -1.580566763868844742e-03 -1.202500784943751256e-04
1.512061085391888549e+00 -6.435862694587801691e-02 -4.384259633893605734e-02 -2.739731322339471198e-02 -1.498984001674489447e-02 -6.316477398643904374e-03 -1.580012698680564789e-03 -1.202500784943635111e-04
1.470444725243487794e+00 -6.986599037226659537e-02 -4.730272891517526418e-02 -2.912330580069355176e-02 -1.553735900987599991e-02 -6.393717298987360194e-03 -1.583015712579325957e-03 -1.202500784944089256e-04
1.431057812960180087e+00 -7.585366762285650211e-02 -5.113983895179002870e-02 -3.114345676902441698e-02 -1.629003371929076474e-02 -6.531642158344284563e-03 -1.590010280138894495e-03 -1.202500784943551763e-04
1.393725870013392765e+00 -8.196914462074741947e-02 -5.506182592320017777e-02 -3.320750105382206524e-02 -1.710327520159332995e-02 -6.695077505961932740e-03 -1.599205031815497096e-03 -1.202500784942942577e-04
1.358292161453730218e+00 -8.778787308726003491e-02 -5.871351776307631720e-02 -3.502984468267592716e-02 -1.781670855412683177e-02 -6.838874864314163637e-03 -1.607682607924492899e-03 -1.202500784945602667e-04
1.324615496293720440e+00 -9.297486410054203732e-02 -6.185709366573285267e-02 -3.655280256231437097e-02 -1.837786123447407785e-02 -6.942548496424852389e-03 -1.613897010305439216e-03 -1.202500784943748681e-04
1.292568347189840150e+00 -9.758191809174714126e-02 -6.452758268396860397e-02 -3.768149439509822785e-02 -1.875665454445924613e-02 -7.014039088410126133e-03 -1.618438213315660963e-03 -1.202500784944831799e-04
1.262035236626300572e+00 -1.019765350587987091e-01 -6.694137678220073162e-02 -3.858928976829952007e-02 -1.907070740154079638e-02 -7.074996467700919722e-03 -1.621966325629252371e-03 -1.202500784939548075e-04
1.232911346550308984e+00 -1.061248080912850222e-01 -6.931433337131279182e-02 -3.965621759944401581e-02 -1.933476365272770309e-02 -7.121285835399590418e-03 -1.624912219156750097e-03 -1.202500784943931369e-04
1.205101316176993897e+00 -1.100711457968283347e-01 -7.129984159908867025e-02 -4.043471755479098595e-02 -1.961713372791063642e-02 -7.169553713955836675e-03 -1.627393663626883679e-03 -1.202500784943456353e-04
1.178518198908383718e+00 -1.137472865141925249e-01 -7.338765060506904914e-02 -4.149962453721571520e-02 -1.998096084454505442e-02 -7.234800746810174897e-03 -1.630324650129217658e-03 -1.202500784943530215e-04
1.153082554327627074e+00 -1.165482674281055619e-01 -7.477243939615657586e-02 -4.198801018079842406e-02 -2.007573595349065529e-02 -7.242273668386240912e-03 -1.631047125868541987e-03 -1.202500784944458969e-04
1.128721655292536319e+00 -1.187346417713688318e-01 -7.608683309973643394e-02 -4.267734544710654471e-02 -2.032994646462002106e-02 -7.288313922722905285e-03 -1.633538038613819741e-03 -1.202500784944109992e-04
1.105368793458897825e+00 -1.190037607733492875e-01 -7.752336142559002052e-02 -4.361303782492449710e-02 -2.049922008935807158e-02 -7.308407257184639308e-03 -1.634057343046919821e-03 -1.202500784945327144e-04
1.082962669267163447e+00 -1.182023405552597717e-01 -7.785274840659726914e-02 -4.403295406376793453e-02 -2.039896685499427431e-02 -7.301340582179594377e-03 -1.635092687801433312e-03 -1.202500784944741133e-04
1.061446854645961446e+00 -1.169801518825226844e-01 -7.834014333825489729e-02 -4.357017089531207976e-02 -2.074262459242385073e-02 -7.380525856334576792e-03 -1.637078307641791092e-03 -1.202500784946882432e-04
1.040769318516494568e+00 -1.170037048206832020e-01 -7.875768260550400357e-02 -4.429975619800446962e-02 -2.071831596651955987e-02 -7.341118226547989345e-03 -1.635495242520738565e-03 -1.202500784943942347e-04
1.020882006697708011e+00 -1.158763120427614840e-01 -7.992903876896245707e-02 -4.443658540447918692e-02 -2.081182522579731742e-02 -7.391222487586640577e-03 -1.639164738543006511e-03 -1.202500784943865504e-04
1.001740469072126105e+00 -1.079959822861320667e-01 -7.812996336432589950e-02 -4.472471672299808271e-02 -2.091534175900708684e-02 -7.405625767158901390e-03 -1.638755425952073729e-03 -1.202500784943409733e-04
